,en,vn,thailand,indonesia
contact.year,year,năm,ปี,Tahun
contact.years,years,năm,ปี,Tahun
contact.auto_assign,Auto assign,Giao tự động,กำหนดอัตโนมัติ,Bagi Automatis
contact.add_telesale,Add Telesales,Thêm telesales,เพิ่มเทเลเซลล์,Tambah Telesales
contact.contact_not_assign,Unassigned,số chưa giao,ยังไม่ได้มอบหมาย,Nomor Telepon Belum Bagi
contact.import_contact,Import Contact,Import liên hệ,นำเข้าผู้ติดต่อ,Impor Kontak
contact.select_campaign,Search Campaign,Tìm kiếm chiến dịch,เลือกแคมเปญ,Kampanye
contact.campaign,Campaign,Chiến dịch,แคมเปญ,Kampanye
contact.empty_records,Have no contacts yet,Không tồn tại bản ghi nào,ไม่มีบันทึก,Tidak ada catatan
contact.select_telesale,Select Telesale,Chọn Telesale,เลือกเทเลเซลล์,Pelih Telesale
contact.find_telesale,Find Telesale,Nhập Telesale,ค้นหาเทเลเซลล์,Klik Masuk Telesale
contact.required_users,Please select a group,Vui lòng chọn nhóm,กรุณาเลือกกลุ่ม,Silakan Pelih Grup
contact.required_quantity,Quantity is required,Vui lòng nhập số lượng,กรุณากรอกจำนวน,Silakan Masukkan Jumlah
contact.quantity_must_number,Quantiy must be a number,Vui lòng nhập số,กรุณากรอกหมายเลข,Silakan Masukkan Nomornya
contact.sales_must_lte_quantity,Sales must less than quantites,Số lượng sales cần <= số liên hệ,ยอดขายต้องน้อยกว่าปริมาณ,Jumlah Telesale Perlu=Kontak
contact.quantity_must_lte_quantity_unassign,Invalid quantity,Vượt quá số lượng cho phép,เกินจำนวนที่อนุญาต,Melebih Jumlah Yang Diizinkan
contact.my_contact,Only My Contacts,Khách hàng của tôi,ลูกค้าของฉัน,Pelanggan Saya
contact.export_contact,Export contact,Xuất file thông tin liên hệ,ส่งออกไฟล์ข้อมูลการติดต่อ,Ekspor File Kontak
contact.export_order,Export order,Xuất file đơn hàng,ไฟล์คำสั่งส่งออก,Ekspor File Pesanan
contact.deliveryDate,Delivery,Hẹn giao,วันที่จัดส่ง,Tanggal Pengiriman
contact.export,Export,Xuất file,ส่งออกไฟล์  ,Ekspor File
contact.callTime,Last Call At,Lần gọi cuối,สายสุดท้าย,Panggilan Terakhir
contact.note,Note,Ghi chú,หมายเหตุ,Catatan
contact.all,All,Tất cả,ทั้งหมด,Semua
contact.appointment,Appointment,Lịch hẹn,ตารางนัดหมาย,Jadwal Janji Pengiriman
contact.equal,Equal,Bằng,เท่ากัน,Sama
contact.more,Greater than or equal,Lớn hơn hoặc bằng,มากกว่าหรือเท่ากับ,Lebih atau Sama
contact.less,Less than or equal ,Nhỏ hơn hoặc bằng,น้อยกว่าหรือเท่ากับ,Kurang atau Sama
contact.between,Between,Khoảng,ประมาณ,Kira-kira
contact.greater_than_or_equal_0,Input number greater than or equal 0,Nhập số lớn hơn hoặc bằng 0,ป้อนตัวเลขที่มากกว่าหรือเท่ากับ 0,Masukkan angka yang lebih besar atau Sama dengan 0
contact.greater_than_or_equal_1,Should input number greater than or equal 1,Nên nhập số lớn hơn hoặc bằng 1,ขอแนะนำให้ป้อนตัวเลขที่มากกว่าหรือเท่ากับ1,Harus Masukkan Angka yang lebih besar atau sama dengan 1 
contact.shoul_input_less_than_100,Should input number less than 100,Nên nhập số nhỏ hơn 100,ขอแนะนำให้ป้อนตัวเลขที่น้อยกว่า 100,Harus Masukkan Angka kurang dari 100
contac.value_integer,The value is not an integer,Giá trị nhập không phải là số nguyên,ค่าไม่ใช่จำนวนเต็ม,Nilai input bukan bilangan genap
contact.input_number,Input Number,Nhập số,ใส่หมายเลข,Masukkan nomor
contact.to,To,Đến,ถึง,Tujuan
contact.from,From,Từ,จาก,Dari
contact.check_filed,Please check this field,Vui lòng kiểm tra lại trường này,โปรดตรวจสอบช่องนี้,Silakan periksa bidang ini lagi
contact.empty_tls,Have no telesales yet,Không có TLS đang hoạt động,ยังไม่มีเทเลเซลล์,Tidak ada TLS yang aktif
contact.select_ads,Select ads,Chọn quảng cáo,เลือกโฆษณา,Pilih iklan
contact.assigned_at,Assigned at,Ngày phân LH,มอบหมายที่,Hari Bagi Kontak
contact.assigned_by,Assigned by,Người phân LH,ได้รับมอบหมายโดย,Orang yang Bagi Kontak
contact.ad_creator,Ad Created By,Người tạo quảng cáo,สร้างโฆษณาโดย,Orang Pembuat iklan
contact.select_ad_creator,Select Ad Created By,Chọn người tạo quảng cáo,เลือกโฆษณาที่สร้างโดย,Pilih Orang yang pembuat iklan
contact.campaign_creator,Campaign Created By,Người tạo chiến dịch,แคมเปญที่สร้างโดย,Orang Pembuat kampanye
contact.get_contact,Get contact,Nhận số liên hệ,รับเบอร์ติดต่อ,Dapatkan nomor kontak
contact.get_contact_success,The system only has,Hệ thống chỉ còn lại,ระบบมีเพียง system,Nomor tersisa di sistem
contact.get_contact_messenger,you will get,bạn sẽ nhận được,คุณจะได้รับ,Anda akan mendapatkan
contact.you_have_got,You have got,Bạn đã nhận được,คุณมี,Anda telah menerima
contact.new_contact,New contact,Liên hệ mới,ผู้ติดต่อใหม่,Kontak baru
contact.max_contact,There is no contact to assign you,Hết contact có thể phân cho bạn,ไม่มีผู้ติดต่อที่จะมอบหมายให้คุณ,Tidak kontak di sistem buat Anda
contact.permissiong_product,There is no contact in your product permissioned,Không có contact thuộc sản phẩm bạn được phân quyền,ไม่มีการติดต่อภายใต้ผลิตภัณฑ์ที่ได้รับอนุญาตของคุณ,Tidak ada kontak dari produk untuk Anda
contact.search_group,Find group,Tìm kiếm nhóm,ค้นหากลุ่ม,Pencarian Grup
contact.contact_alert,There is no contact yet,Không có contact nào chưa được phân,ไม่มีรายชื่อติดต่อที่ไม่ได้มอบหมาย,Tidak ada kontak yang tidak Bagikan
contact.table_option,Table Option,Tùy chỉnh bảng,ตัวเลือกตาราง,Table Sesuaikan 
contact.table_option_alert,Choose column to display,Chọn cột để hiển thị,เลือกคอลัมน์ที่จะแสดง,Pilih kolom untuk ditampilkan
contact.check_all,Selected all,Chọn tất cả,เลือกทั้งหมด,Pilih Semua
contact.vendor,Vendor,Đối tác,ผู้ขาย,Pasangan
contact.country,Country,Quốc gia,ประเทศ,Bangsa
contact.many_contact,You have too many contacts need to call. Please call to them ,Bạn còn quá nhiều contact chưa gọi. Vui lòng gọi hết để nhận thêm,คุณมีผู้ติดต่อจำนวนมากที่ต้องโทร กรุณาโทรทั้งหมดเพื่อรับเพิ่มเติม,Anda masih ada banyak kontak yang belum telepon. Silakan hubungi semua untuk bisa tambah Nomor Telepon
contact.export_contact_send_to_mail,Please check your mail to get export link,Vui lòng kiểm tra mail của bạn để lấy link export,โปรดตรวจสอบอีเมลของคุณสำหรับลิงค์ส่งออก,Silakan Anda periksa email untuk ekspor Link
contact.confirm_delete_contact_when_count_ad_gt_1,This contact belongs to more than one ad. Are you sure you want to delete it,Liên hệ này thuộc về nhiều hơn một quảng cáo. Bạn có chắc chắn muốn xóa không,ผู้ติดต่อรายนี้อยู่ในโฆษณามากกว่าหนึ่งรายการ คุณแน่ใจหรือว่าต้องการลบ?,Kontak ini ada lebih satu dari iklan. Anda yakin ingin menghapus?
contact.title,Contact,Số liên hệ,เบอร์ติดต่อ,Nomor Hubungi
contact.contact_expired,Contact has expired,Liên hệ đã hết hạn,ผู้ติดต่อหมดอายุ,Kontak tidak Aktif
contact.appointment,Contact has an appointment at,Liên hệ có lịch hẹn gọi lại lúc,ติดต่อนัดหมายโทรกลับได้ที่,Kontak ada janji akan telepon kembali lain waktu
contact.state,State,Trạng thái,สถานะ,Status
contact.all_state,All State,Tất cả trạng thái,สถานะทั้งหมด,Semua status
contact.fullname_phone_number,Fullname / Phone number,Họ tên / Số điện thoại,ชื่อ/หมายเลขโทรศัพท์,Nama/Nomor Telepon
contact.product,Products,Sản phẩm,สินค้า,Produk
contact.select_product,Select product,Chọn sản phẩm,เลือกสินค้า,Pilih produk
contact.filter_more,More,Mở rộng,ดูเพิ่มเติม,Buka Besar
contact.filter_less,Less,Thu gọn,เล็กลง,Perkecil
contact.ads,Ads,Quảng cáo,โฆษณา,Iklan
contact.select_file_upload,Choose file to upload,Chọn file,เลือกไฟล์,Pilih file
contact.import_contact_error_file_column,File expect two column Phone and Name,File phải có 2 cột Phone và Name,ไฟล์ต้องมีโทรศัพท์และชื่อ 2 คอลัมน์,"File harus memiliki 2 kolom, Telepon dan Nama"
contact.import_contact_error_file_has_not_row,File is empty,File trống,ไฟล์ว่างเปล่า ,File kosong 
contact.import_contact_error_file_max_200_row,Max 200 rows,Tối đa 200 dòng,มากถึง 200 เส้น,Hingga 200 baris
contact.invalid_phone,Invalid phone number,Số điện thoại không đúng định dạng,หมายเลขโทรศัพท์อยู่ในรูปแบบที่ไม่ถูกต้อง,Nomor telepon tidak dalam format yang benar
contact.existed,Contact is existed,Số điện thoại đã tồn tại,มีหมายเลขโทรศัพท์อยู่แล้ว,Nomor telepon sudah ada di sistem
contact.is_not_enough,The current number of contacts is not enough,Số lượng contact hiện tại không đủ,จำนวนผู้ติดต่อปัจจุบันไม่เพียงพอ,Jumlah kontak saat ini tidak cukup
contact.download_import_template,Download csv template,Download csv mẫu import,ดาวน์โหลดตัวอย่างการนำเข้า csv,Download file contoh csv impor 
contact.require_file,This file is not a csv file,File này không phải file csv,This file is not a csv file,This file is not a csv file
contact.order_status,Order status,Trạng thái đơn hàng,สถานะการสั่งซื้อ,Order status
contact.address,Address,Địa chỉ,ที่อยู่,alamat
contact.return_lead,Return lead,Khách quay lại,กลับนำ,timbal balik
contact.lead,Lead,Liên hệ,ตะกั่ว,memimpin
contact.created_at,Created at,Ngày tạo,สร้างที่,dibuat di
contact.required_file,You have to upload file contact,Bạn phải tải lên file liên hệ,You have to upload file contact,You have to upload file contact
contact.list_of_related_orders,List of related orders,Danh sách các đơn hàng,List of related orders,List of related orders
contact.noti_succ,Import successful,Thêm thành công ,Import successful,Import successful
contact.reset_assign,Unassign,Thu hồi liên hệ,Unassign,Unassign
contact.mark_as_spam,Mark as spam,Đánh dấu spam,Mark as spam,Mark as spam
contact.remark,Remark,Đánh giá,Remark,Remark
contact.spam,Spam,Spam,Spam,Spam
contact.blanks,Blanks,Không spam,Blanks,Blanks
contact-created-msg.success,Successful,Thêm liên hệ thành công,เพิ่มผู้ติดต่อเรียบร้อยแล้ว,Tambah Kontak Berhasil
contact-created-msg.fail,Fail,Thêm liên hệ thất bại,เพิ่มผู้ติดต่อที่ล้มเหลว,Tambahkan kontak sudah gagal
contact-detail.campaign,Campaign,Chiến dịch,แคมเปญ,Kampanye
contact-detail.date,Date,Ngày tạo,วันที่สร้าง,Tanggal Pembuatan
contact-detail.date_time,Date & time,Ngày giờ,วันและเวลา,Tanggal dan waktu
contact-detail.status,Status,Trạng thái,สถานะ,Status
contact-detail.created_by,Created by,Người thêm,สร้างโดย,Orang tambahan
contact-detail.summary,Summary,Tổng quan,ภาพรวม,Gambaran
contact-detail.key_field,Key Field,Thông tin,ข้อมูล,Informasi
contact-detail.fullname,Fullname,Họ tên,ชื่อเต็ม,Nama lengkap
contact-detail.phone,Phone number ,Số điện thoại,หมายเลขโทรศัพท์,Nomor telepon
contact-detail.assigned_to,Assigned to,Phụ trách,ได้รับมอบหมายให้,Bertanggung jawab 
contact-detail.stage,Contact State,Trạng thái,สถานะ,Status
contact-detail.contact_state,Contact State,Trạng thái liên hệ,สถานะการติดต่อ,Status Kontak
contact-detail.keyfield_source,Source,Nguồn,ที่มา,Sumber
contact-detail.last_contact,Last Call At,Lần cuối liên hệ,ติดต่อครั้งสุดท้ายเมื่อ,Hubungi Terakhir 
contact-detail.product,Product,Sản phẩm,สินค้า,Produk
contact-detail.product_name,Name,Tên,ชื่อ,Nama
contact-detail.product_supplier,Supplier,Nhà cung cấp,ผู้ผลิต,Pemasok
contact-detail.product_source,Source,Nguồn,ที่มา,Sumber
contact-detail.product_brand,Brand,Nhãn hiệu,ยี่ห้อ,Merek
contact-detail.product_default_price,Default price,Giá,ราคา,Harga
contact-detail.product_inventory,Inventory,Số tồn kho,สินค้าคงคลัง,Jumlah persediaan
contact-detail.product_size,Size,Kích cỡ,ขนาด,Ukuran
contact-detail.product_color,Color,Màu sắc,สี,Warna
contact-detail.product_desc,Description,Mô tả,อธิบาย,Diskripsi
contact-detail.product_pl,Search Product,Tìm kiếm sản phẩm,Search Product,Search Product
contact-detail.activity,Activities,Hoạt động,กิจกรรม,Operasi
contact-detail.add_event,Add event,Thêm sự kiện,เพิ่มกิจกรรม,Tambah lainnya
contact-detail.added_by,Added by,Thêm bởi ,เพิ่มโดย,Ditambahkan oleh
contact-detail.district,District,Quận/huyện,อำเภอ,Distrik
contact-detail.province,Province,Tỉnh/thành phố,จังหวัด/เมือง,Provinsi/kota
contact-detail.address_detail,Complete Address,Địa chỉ chi tiết,ที่อยู่โดยละเอียด,Alamat lengkap
contact-detail.properties,Properties,Thuộc tính,คุณสมบัติ,Properti
contact-detail.unit_price,Unit price,Giá đơn vị,ราคาต่อหน่วย,Harga satuan
contact-detail.quantity,Quantity,Số lượng,จำนวนเงิน,Jumlah
contact-detail.price,Price,Giá,ราคา,Harga
contact-detail.select_property,Select property,Chọn thuộc tính,เลือกคุณสมบัติ,Pilih properti
contact-detail.add_property,Add properties,Thêm thuộc tính,เพิ่มคุณสมบัติ,Tambahkan properti
contact-detail.add_property_warning,All fields are required !,Bạn cần điển đầy đủ thông tin!,ต้องกรอกข้อมูลให้ครบ,Anda perlu tambah informasi lengkap!
contact-detail.total_amount,Total amount,Tổng giá,ราคารวม,Total harga
contact-detail.order_note,Note,Ghi chú đơn,หมายเหตุ,Catatan Pesanan
contact-detail.cancel,Cancel,Huỷ,ยกเลิก,Batal
contact-detail.finish,Finish,Lưu,บันทึก,Simpan
contact-detail.property_total,Total,Tổng,รวม,Total
contact-detail.event_note,Note,Ghi chú,หมายเหตุ,Catatan
contact-detail.confirm_del_message,Are you sure to delete ?,Bạn có muốn xoá ?,คุณต้องการที่จะลบ?,Apakah Anda ingin menghapus?
contact-detail.yes,Yes,Có,ใช่,Ya
contact-detail.no,No,Không,ไม่ใช่,Tidak
contact-detail.confirm_unassign_title,Do you want to unassign this user ? ,Bạn có muốn trả contact này về kho ?,คุณต้องการยกเลิกการมอบหมายผู้ใช้รายนี้หรือไม่,Apakah Anda ingin mengembalikan kontak ini ke gudang?
contact-detail.appointment,Appointment Date,Lịch hẹn,ตารางนัดหมาย,Jadwal Janji Pengiriman
contact-detail.my_contact,My contact,Khách hàng của tôi,ลูกค้าของฉัน,Pelanggan saya
contact-detail.contact,Contact,Khách hàng,ลูกค้า,Pelanggan
contact-detail.last_contact_never,Never,Chưa,ยัง,Belum
contact-detail.confirm_change_message,Are you sure to do this ?,Bạn chắc chắn muốn thay đổi không ?,คุณแน่ใจว่าจะทำเช่นนี้?,Apakah Anda yakin ingin berubah?
contact-detail.confirm_title,Confirm,Xác thực,ยืนยัน,Konfirmasi
contact-detail.invoice,Invoice,Hóa đơn,บิล,Tagihan
contact-detail.delivery_at,Delivery at,Ngày hẹn giao,วันที่จัดส่ง,Tanggal Janji pengiriman
contact-detail.order_code,Order code,Mã đơn hàng,รหัสการสั่งซื้อ,Kode Pesanan
contact-detail.product_detail,Product Detail,Chi tiết sản phẩm,รายละเอียดสินค้า,Informasi Produk
contact-detail.strategy,Sale Strategy,Chiến lược bán hàng,กลยุทธ์การขาย,Strategi penjualan
contact-detail.marketting_target,Marketing Target,Mục tiêu Marketing,เป้าหมายทางการตลาด,Tujuan Marketing
contact-detail.question,Question,Câu hỏi,คำถาม,Pertanyaan
contact-detail.answer,Answer,Trả lời,คำตอบ,Balasan
contact-detail.edit,Edit,Sửa,แก้ไข,Perbaikan
contact-detail.fqa,FAQ,Câu hỏi thường gặp,คำถามที่พบบ่อย,Pertanyaan yang sering diajukan
contact-detail.add_fqa,New,Thêm mới,เพิ่มใหม่,Tambah baru
contact-detail.popup_fqa_title,Add FAQ,Thêm câu hỏi thường gặp,คำถามที่พบบ่อยเพิ่มเติม,Pertanyaan yang lebih sering diajukan
contact-detail.add,Add,Thêm mới,เพิ่มใหม่,Tambah baru
contact-detail.select,Select,Chọn một giá trị,เลือกค่า,Pilih satu status
contact-detail.delete,Delete,Xóa,ลบ,Menghapus
contact-detail.note,Note,Ghi chú,บันทึก,Catatan
contact-detail.quantity_must_in_range,Quantity must in range,Số lượng chỉ trong khoảng,ปริมาณต้องอยู่ในช่วง,Kuantitas hanya dalam sekitar
contact-detail.invoice_list,Invoice List,Danh sách hóa đơn,รายการใบแจ้งหนี้ ,Daftar Tagihan
contact_status.page_title,Contact Status,Cấu hình trạng thái khách hàng,กำหนดค่าสถานะลูกค้า,Status klien
contact_status.code,Code,Mã,รหัส,Kode
contact_detail.content,Content,Nội dung,เนื้อหา,kandungan
contact_detail.time_calling,Time calling,Thời gian thực hiện cuộc gọi,Time calling,Time calling
contact_detail.call_status,Last Event Status,Trạng thái cuộc gọi,Last Event Status,Last Event Status
contact_detail.record,Record,Ghi âm,Record,Record
contact-detail.vendor,Vendor,Đối tác,พันธมิตร,Pasangan
contact-detail.gender,Gendor,Giới tính,เพศ,Seks
contact-detail.male,Male,Nam,ชาย,Pria
contact-detail.Female,Female,Nữ,หญิง,Perempuan
contact-detail.Other,Other,Khác,อื่นๆ,Lain
contact-detail.keep,Do not need to keep following,Không cần tiếp tục chăm sóc,Do not need to keep following,Do not need to keep following
contact-detail.activity_logs,Activity hitories,Lịch sử thao tác,ประวัติการดำเนินงาน,Sejarah operasi
contact-detail.select_group,Select a group,Chọn một nhóm,เลือกกลุ่ม,Pilih grup
contact-detail.select_user,Select a user,Chọn một user,เลือกผู้ใช้,Pilih pengguna
contact-detail.select_deliverydate,Select delivery date,Chọn ngày hẹn giao,เลือกวันจัดส่ง,Pilih tanggal pengiriman
contact-detail.validate_time,Please select date time,Vui lòng chọn ngày giờ,กรุณาเลือกวันที่และเวลา,Silakan pilih tanggal dan waktu
contact-detail.validate_delivery_at,Please select delivery at,Vui lòng chọn ngày hẹn giao,กรุณาเลือกวันที่จัดส่ง,Silakan pilih tanggal pengiriman
contact-detail.validate_ad,Please select ads,Vui lòng chọn quảng cáo,โปรดเลือกโฆษณา,Silakan pilih iklan
contact-detail.validate_status,Please select status,Vui lòng chọn trạng thái,กรุณาเลือกสถานะ,Silakan pilih status
contact-detail.validate_address,Please input address,Vui lòng nhập địa chỉ,กรุณากรอกที่อยู่ของคุณ,Silakan masukkan alamat Anda
contact-detail.validate_province,Please select province,Vui lòng chọn quận huyện,กรุณาเลือกอำเภอ,Silakan pilih distrik
contact-detail.validate_city,Please select district,Vui lòng chọn tỉnh thành phố,กรุณาเลือกเมืองหรือจังหวัด,Silakan pilih kota atau provinsi
contact-detail.validate_property,Please select property,Vui lòng chọn thuộc tính,กรุณาเลือกคุณสมบัติ,Silakan pilih properti
contact-detail.validate_quantity,Please input quantity,Vui lòng nhập số lượng,กรุณากรอกจำนวน,Silakan masukkan jumlah
contact-detail.validate_cancel_reason,Please select cancel reason,Vui lòng chọn lý do hủy,โปรดเลือกเหตุผลในการยกเลิก,Silakan pilih alasan pembatalan
contact-detail.validate_other_reason,Please input content,Vui lòng nhập nội dung,กรุณาใส่เนื้อหา,Silakan masukkan kandungan
contact-detail.validate_area,Please input area,Chọn khu vực,กรุณาใส่พื้นที่,Silakan masukkan area
contact-detail.status_pl,Select status,Chọn trạng thái,เลือกสถานะ,Pilih status
contact-detail.province_pl,Select province,Chọn tỉnh thành phố,เลือกเมืองและจังหวัด,Pilih kota dan provinsi
contact-detail.district_pl,Select district,Chọn quận huyện,เลือกอำเภอ ,Pilih distrik 
contact-detail.status_pl,Enter note,Nhập ghi chú,ใส่หมายเหตุ,Masukkan catatan
contact-detail.cancel_reason_pl,Enter cancel reason,Nhập lý do hủy,ใส่เหตุผลในการยกเลิก,Masukkan alasan pembatalan
contact-detail.content_pl,Enter content,Nhập nội dung,ใส่เนื้อหา,Impor kandungan
contact-detail.delivery_pl,Select delivery at,Chọn ngày hẹn giao,เลือกวันจัดส่ง,Pilih tanggal pengiriman
contact-detail.appointment_pl,Select appointment date,Chọn lịch hẹn,เลือกนัดหมาย,Pilih janji tanggal pengiriman
contact-detail.address_pl,Enter address,Nhập địa chỉ,ใส่ที่อยู่,Masukkan alamat
contact-detail.variant_pl,Select variant,Chọn biến thể,เลือกแบบต่างๆ,Pilih varian
contact-detail.validate_note_length,The length of note field maximum 255 characters,Độ dài ghi chú tối đa 255 ký tự,ความยาวโน้ตสูงสุด 255 ตัวอักษร,Catatan Panjang maksimum 255 karakter
contact-detail.validate_address_length,The length of address field maximum 255 characters,Độ dài địa chỉ tối đa 255 ký tự,ความยาวที่อยู่สูงสุด 255 ตัวอักษร, Alamat Panjang maksimum 255 karakter
contact-detail.validate_content_length,The length of content field maximum 255 characters,Độ dài nội dung tối đa 255 ký tự,ความยาวเนื้อหาสูงสุด 255 ตัวอักษร,Kandungan Panjang maksimum 255 karakter
contact-detail.err_message,does not belong to Ad,không thuộc quảng cáo,ไม่อยู่ในโฆษณา,Bukan dari iklan
contact-detail.address,Address,Địa chỉ,ที่อยู่,Alamat
contact-detail.area,Area,Vùng,ภูมิภาค,Wilayah
contact-detail.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Ekspedisi
contact-detail.history_call,Call history,Lịch sử cuộc gọi,Call history,Call history
contact-detail.validate_courier,Please select courier,Vui lòng chọn đơn vị vận chuyển,กรุณาเลือกบริษัทขนส่ง,Silakan pilih Nama Ekspedisi
contact-detail.add_cross_sku,Add gift,Chọn quà tặng kèm,Add gift,Add gift
contact-detail.modal_add_sku.ok_text,Ok,Đồng ý,Ok,Ok
contact-detail.modal_add_sku.cancel_text,Cancel,Đóng,Cancel,Cancel
contact-detail.modal.ad_skus.name,Add gift to order,Thêm quà tặng vào đơn hàng,Add gift to order,Add gift to order
contact-detail.modal.ad_skus.action.checkbox,Choice,Chọn,Choice,Choice
contact-detail.table-cross-sku.heading,Gift,Quà tặng kèm,Gift,Gift
contact-detail.table-cross-sku.column.product,Product,Sản phẩm,Product,Product
contact-detail.table-cross-sku.column.quantity,Quantity,Số lượng,Quantity,Quantity
contact-detail.table-cross-sku.column.unit_price,Unit price,Đơn giá,Unit price,Unit price
contact-detail.table-cross-sku.column.total_amount,Price,Thành tiền,Price,Price
order_status_cancelled.JUST_INQUIRING_ABOUT_THE_PRODUCT,Just inquiring about the product / Item price,Chỉ muốn tìm hiểu về sản phẩm/giá,แค่ต้องการเรียนรู้เกี่ยวกับสินค้า/ราคา,Hanya ingin tahu tentang produk/harga
order_status_cancelled.PRICE_IS_EXPENSIVE,Price is expensive / Compared to other seller,Giá quá đắt (so sánh với các đơn vị bán hàng khác),ราคาแพงเกินไป (เมื่อเทียบกับผู้ขายรายอื่น),Harga terlalu mahal (dibandingkan dengan penjual lain)
order_status_cancelled.BUDGET_ISSUE,Budget Issue / Dont have enough money,Không có tiền để mua hàng,ไม่มีเงินซื้อ,Tidak ada uang untuk membeli
order_status_cancelled.NOT_INTERESTED,Not Interested / Not aware the product / Not put his No,Không có hứng thú về sản phẩm,ไม่สนใจสินค้า,Tidak tertarik pada produk
order_status_cancelled.MY_RELATIVE_IS_NOT_INTERESTED,My Relative is not interested / Not approve,Vợ/người yêu không cho phép mua,ภรรยา/แฟนไม่ให้ซื้อ,Istri/pacar tidak boleh untuk membeli
